case_id,initial_time,lead_time_hours,valid_start_time,valid_end_time,region_id,variable,aggregation,forecast_value,observed_value,unit,event_threshold,observation_source,observation_id,coverage_fraction,station_count,qc_status
20200501_00,2020-05-01T00:00:00Z,24,2020-05-01T00:00:00Z,2020-05-02T00:00:00Z,SA-09,daily_precip_total,weighted_mean,0.65110417,0.939,mm,,IMERG,IMERG_FINAL_V07B_2020-05-01_SA-09_weighted_mean,1.0,,accepted
20200501_00,2020-05-01T00:00:00Z,24,2020-05-01T00:00:00Z,2020-05-02T00:00:00Z,SA-09,daily_precip_total,spatial_p95,1.51291,6.115,mm,,IMERG,IMERG_FINAL_V07B_2020-05-01_SA-09_spatial_p95,1.0,,accepted
20200501_00,2020-05-01T00:00:00Z,24,2020-05-01T00:00:00Z,2020-05-02T00:00:00Z,SA-09,daily_precip_total,maximum,1.6054287,24.2,mm,,IMERG,IMERG_FINAL_V07B_2020-05-01_SA-09_maximum,1.0,,accepted
20200501_00,2020-05-01T00:00:00Z,48,2020-05-02T00:00:00Z,2020-05-03T00:00:00Z,SA-09,daily_precip_total,weighted_mean,1.1037708,0.84,mm,,IMERG,IMERG_FINAL_V07B_2020-05-02_SA-09_weighted_mean,1.0,,accepted
20200501_00,2020-05-01T00:00:00Z,48,2020-05-02T00:00:00Z,2020-05-03T00:00:00Z,SA-09,daily_precip_total,spatial_p95,2.8983252,3.89,mm,,IMERG,IMERG_FINAL_V07B_2020-05-02_SA-09_spatial_p95,1.0,,accepted
20200501_00,2020-05-01T00:00:00Z,48,2020-05-02T00:00:00Z,2020-05-03T00:00:00Z,SA-09,daily_precip_total,maximum,3.231235,12.4,mm,,IMERG,IMERG_FINAL_V07B_2020-05-02_SA-09_maximum,1.0,,accepted
20200501_00,2020-05-01T00:00:00Z,72,2020-05-03T00:00:00Z,2020-05-04T00:00:00Z,SA-09,daily_precip_total,weighted_mean,0.79276368,1.185,mm,,IMERG,IMERG_FINAL_V07B_2020-05-03_SA-09_weighted_mean,1.0,,accepted
20200501_00,2020-05-01T00:00:00Z,72,2020-05-03T00:00:00Z,2020-05-04T00:00:00Z,SA-09,daily_precip_total,spatial_p95,2.6438292,9.27,mm,,IMERG,IMERG_FINAL_V07B_2020-05-03_SA-09_spatial_p95,1.0,,accepted
20200501_00,2020-05-01T00:00:00Z,72,2020-05-03T00:00:00Z,2020-05-04T00:00:00Z,SA-09,daily_precip_total,maximum,5.0277891,13.3,mm,,IMERG,IMERG_FINAL_V07B_2020-05-03_SA-09_maximum,1.0,,accepted
20200505_00,2020-05-05T00:00:00Z,24,2020-05-05T00:00:00Z,2020-05-06T00:00:00Z,SA-09,daily_precip_total,weighted_mean,1.5518871,0.014,mm,,IMERG,IMERG_FINAL_V07B_2020-05-05_SA-09_weighted_mean,1.0,,accepted
