dataset_split,pair_qc_status,result_status,variable,aggregation,scope,pair_count,mae,rmse,bias,unit,hits,misses,false_alarms,correct_negatives,pod,far,csi,metric_limitations
development,accepted,accepted_development_metric,daily_precip_total,maximum,all_leads,15,6.7872515,9.9959026,-5.0597645,mm,,,,,,,,Development split only; IMERG rows retain blank thresholds here.
development,accepted,accepted_development_metric,daily_precip_total,maximum,lead024,5,9.5439231,13.188334,-8.3937501,mm,,,,,,,,Development split only; IMERG rows retain blank thresholds here.
development,accepted,accepted_development_metric,daily_precip_total,maximum,lead048,5,6.6954172,9.8346215,-6.6954172,mm,,,,,,,,Development split only; IMERG rows retain blank thresholds here.
development,accepted,accepted_development_metric,daily_precip_total,maximum,lead072,5,4.1224142,5.3946528,-0.090126204,mm,,,,,,,,Development split only; IMERG rows retain blank thresholds here.
development,accepted,accepted_development_metric,daily_precip_total,spatial_p95,all_leads,15,2.5321038,3.3926518,-0.249469,mm,,,,,,,,Development split only; IMERG rows retain blank thresholds here.
development,accepted,accepted_development_metric,daily_precip_total,spatial_p95,lead024,5,2.1429979,2.6398842,-0.058926482,mm,,,,,,,,Development split only; IMERG rows retain blank thresholds here.
development,accepted,accepted_development_metric,daily_precip_total,spatial_p95,lead048,5,2.035989,2.968338,-1.4466387,mm,,,,,,,,Development split only; IMERG rows retain blank thresholds here.
development,accepted,accepted_development_metric,daily_precip_total,spatial_p95,lead072,5,3.4173245,4.3301545,0.75715814,mm,,,,,,,,Development split only; IMERG rows retain blank thresholds here.
development,accepted,accepted_development_metric,daily_precip_total,weighted_mean,all_leads,15,0.71576719,0.97583992,0.51732532,mm,,,,,,,,Development split only; IMERG rows retain blank thresholds here.
development,accepted,accepted_development_metric,daily_precip_total,weighted_mean,lead024,5,0.56714968,0.78487676,0.40011916,mm,,,,,,,,Development split only; IMERG rows retain blank thresholds here.
development,accepted,accepted_development_metric,daily_precip_total,weighted_mean,lead048,5,0.53845859,0.56911497,0.26705803,mm,,,,,,,,Development split only; IMERG rows retain blank thresholds here.
development,accepted,accepted_development_metric,daily_precip_total,weighted_mean,lead072,5,1.0416933,1.3845098,0.88479876,mm,,,,,,,,Development split only; IMERG rows retain blank thresholds here.
development,accepted,accepted_ssod_utc_development_metric,tmax_c,station_max,all_leads,30,2.2845388,2.4293338,-2.2845388,degC,1,10,0,19,0.090909091,0,0.090909091,Development split and synchronous UTC days only; synoptic reports may not capture the true daily extrema.
development,accepted,accepted_ssod_utc_development_metric,tmax_c,station_max,lead024,10,1.9147412,2.0454406,-1.9147412,degC,1,1,0,8,0.5,0,0.5,Development split and synchronous UTC days only; synoptic reports may not capture the true daily extrema.
